algo,iter,bitstring_size,val,time
rhc,26,80,80.0,0.030695748
rhc,27,80,80.0,0.036177754
rhc,28,80,80.0,0.037689201
rhc,29,80,80.0,0.033843209
rhc,30,80,80.0,0.032324608
sa,1,80,80.0,0.148227639
sa,2,80,80.0,0.138165827
sa,3,80,80.0,0.136727063
sa,4,80,80.0,0.13354027
sa,5,80,80.0,0.135005659
sa,6,80,80.0,0.132516637
sa,7,80,80.0,0.142551335
sa,8,80,80.0,0.140309364
sa,9,80,80.0,0.141879766
sa,10,80,80.0,0.127974766
sa,11,80,80.0,0.134879711
sa,12,80,80.0,0.139309659
sa,13,80,80.0,0.143883812
sa,14,80,80.0,0.139551016
sa,15,80,80.0,0.138846696
sa,16,80,80.0,0.137139256
sa,17,80,80.0,0.139457274
sa,18,80,80.0,0.14250779
sa,19,80,80.0,0.146231599
sa,20,80,80.0,0.1439071
sa,21,80,80.0,0.134943503
sa,22,80,80.0,0.135084927
sa,23,80,80.0,0.131416049
sa,24,80,80.0,0.133706074
sa,25,80,80.0,0.1410298
sa,26,80,80.0,0.13187575
sa,27,80,80.0,0.136879181
sa,28,80,80.0,0.126983064
sa,29,80,80.0,0.137846945
sa,30,80,80.0,0.132749258
ga,1,80,21.0,0.064111864
ga,2,80,43.0,0.071194885
ga,3,80,40.0,0.063233091
ga,4,80,41.0,0.064821553
ga,5,80,33.0,0.064514328
ga,6,80,25.0,0.063963294
ga,7,80,30.0,0.066945715
ga,8,80,35.0,0.067444421
ga,9,80,18.0,0.062922506
ga,10,80,38.0,0.069141738
ga,11,80,36.0,0.067212856
ga,12,80,36.0,0.066705368
ga,13,80,43.0,0.063769845
ga,14,80,23.0,0.069766832
ga,15,80,29.0,0.06302505
ga,16,80,25.0,0.067333169
ga,17,80,38.0,0.066548173
ga,18,80,23.0,0.065200952
ga,19,80,30.0,0.062970147
ga,20,80,33.0,0.065924009
ga,21,80,28.0,0.066290131
ga,22,80,34.0,0.066289344
ga,23,80,21.0,0.070965053
ga,24,80,44.0,0.065942055
ga,25,80,24.0,0.065810554
ga,26,80,34.0,0.065652725
ga,27,80,35.0,0.067706497
ga,28,80,34.0,0.065572139
ga,29,80,23.0,0.068729639
ga,30,80,32.0,0.065023642
mimic,1,80,80.0,2.652448015
mimic,2,80,80.0,2.61241588
mimic,3,80,80.0,2.541229355
mimic,4,80,80.0,2.54962722
mimic,5,80,80.0,2.568391296
mimic,6,80,80.0,2.556043483
mimic,7,80,80.0,2.561904474
mimic,8,80,80.0,2.571277793
mimic,9,80,80.0,2.660129631
mimic,10,80,80.0,2.800619569
mimic,11,80,80.0,2.694084897
mimic,12,80,80.0,2.722200941
mimic,13,80,80.0,2.646473188
mimic,14,80,80.0,2.77709046
mimic,15,80,80.0,2.789874825
mimic,16,80,80.0,2.626562802
mimic,17,80,80.0,2.656653637
mimic,18,80,80.0,2.821008858
mimic,19,80,80.0,2.728019884
mimic,20,80,80.0,2.612758807
mimic,21,80,80.0,2.618701313
mimic,22,80,80.0,2.576492189
mimic,23,80,80.0,2.554795347
mimic,24,80,80.0,2.546367775
mimic,25,80,80.0,2.571195313
mimic,26,80,80.0,2.58615797
mimic,27,80,80.0,2.620947749
mimic,28,80,80.0,2.753675553
